Datatable from 01/09/2023 06:00:00 to 19/09/2023 18:00:00,,,,,,,,,,,,,,,,,,
,POI - POI - Active Power - total (MW),,T05_WS - ( T05_WS ) Weather Station - Global Horizontal Irradiance - ( W/m2 ),,T15_WS - ( T15_WS ) Weather Station - Global Horizontal Irradiance - ( W/m2 ),,T05_WS - ( T05_WS ) Weather Station - Tilted Irradiance - ( W/m2 ),,T15_WS - ( T15_WS ) Weather Station - Tilted Irradiance - ( W/m2 ),,T05_WS - ( T05_WS ) Weather Station - Air Temperature ( degree ),,T15_WS - ( T15_WS ) Weather Station - Air Temperature ( degree ),,T05_WS - ( T05_WS ) Weather Station - Module Temperature ( degree ),,T15_WS - ( T15_WS ) Weather Station - Module Temperature ( degree ),
,POI_MMXU1_totW,,WSA_MET_RadGHI,,WSB_MET_RadGHI,,WSA_MET_RadPOA,,WSB_MET_RadPOA,,WSA_MET_AirTemp,,WSB_MET_AirTemp,,WSA_MET_PVTemp,,WSB_MET_PVTemp,
TimeStamp,Value,Quality,Value,Quality,Value,Quality,Value,Quality,Value,Quality,Value,Quality,Value,Quality,Value,Quality,Value,Quality
01/09/23 6:00,0.827,Good,23.876,Good,19.412,Good,21.286,Good,17.933,Good,25.9,Good,-3276.8,Bad,24.8,Good,24.63,Good
01/09/23 6:30,6.22,Good,82.69,Good,79.743,Good,84.337,Good,80.001,Good,26.248,Good,-3276.8,Bad,25.724,Good,25.573,Good
01/09/23 7:00,14.23,Good,177.813,Good,202.311,Good,193.156,Good,204.784,Good,26.959,Good,-3276.8,Bad,27.667,Good,27.766,Good
01/09/23 7:30,18.096,Good,255.973,Good,215.784,Good,276.46,Good,217.266,Good,28.773,Good,-3276.8,Bad,31.352,Good,31.485,Good
01/09/23 8:00,45.908,Good,509.14,Good,557.942,Good,548.833,Good,572.897,Good,30.682,Good,-3276.8,Bad,36.647,Good,36.48,Good
01/09/23 8:30,26.723,Good,294.279,Good,374.138,Good,301.187,Good,381.746,Good,29.76,Good,-3276.8,Bad,33.359,Good,33.732,Good
01/09/23 9:00,36.171,Good,376.019,Good,478.658,Good,403.148,Good,490.658,Good,30.755,Good,-3276.8,Bad,37.195,Good,37.749,Good
01/09/23 9:30,69.028,Good,879.487,Good,891.178,Good,897.649,Good,871.154,Good,32.097,Good,-3276.8,Bad,43.304,Good,44.07,Good
01/09/23 10:00,64.35,Good,819.72,Good,918.345,Good,837.915,Good,895.289,Good,33.04,Good,-3276.8,Bad,45.342,Good,45.788,Good
01/09/23 10:30,52.422,Good,1057.061,Good,304.962,Bad,1088.129,Good,317.494,Uncertain,33.393,Good,-3276.8,Bad,45.934,Good,48.632,Good
01/09/23 11:00,43.481,Good,658.588,Good,546.354,Good,702.797,Good,552.005,Good,33.471,Good,-3276.8,Bad,40.182,Good,40.696,Good
01/09/23 11:30,48.37,Good,1176.816,Good,1169.71,Good,1211.462,Good,1188.155,Good,33.875,Good,-3276.8,Bad,48.59,Good,50.568,Good
01/09/23 12:00,42.739,Good,307.024,Good,1100.175,Good,303.2,Good,1084.436,Good,33.423,Good,-3276.8,Bad,43.524,Good,43.609,Good
01/09/23 12:30,72.358,Good,1149.212,Good,1150.359,Good,1140.37,Good,1125.862,Good,32.972,Good,-3276.8,Bad,46.764,Good,45.373,Good
01/09/23 13:00,58.712,Good,500.038,Good,675.404,Good,508.538,Good,690.244,Good,31.47,Good,-3276.8,Bad,37.412,Good,37.265,Good
01/09/23 13:30,45.193,Good,444.05,Good,514.153,Good,431.597,Good,516.772,Good,32.719,Good,-3276.8,Bad,41.828,Good,43.029,Good
01/09/23 14:00,72.381,Good,1233.337,Good,1070.907,Good,1200.152,Good,1056.751,Good,32.896,Good,-3276.8,Bad,44.572,Good,44.53,Good
01/09/23 14:30,71.896,Good,1071.332,Good,999.375,Good,1024.877,Good,974.346,Good,33.47,Good,-3276.8,Bad,41.971,Good,42.419,Good
01/09/23 15:00,23.447,Good,316.985,Good,242.58,Good,317.907,Good,244.107,Good,32.106,Good,-3276.8,Bad,37.167,Good,36.982,Good
01/09/23 15:30,16.263,Good,180.025,Good,183.966,Good,174.795,Good,174.98,Good,28.171,Good,-3276.8,Bad,29.21,Good,28.163,Good
01/09/23 16:00,9.674,Good,107.041,Good,106.256,Good,105.556,Good,103.227,Good,26.6,Good,-3276.8,Bad,26.607,Good,26.4,Good
01/09/23 16:30,7.714,Good,86.07,Good,82.067,Good,85.178,Good,83.836,Good,26.652,Good,-3276.8,Bad,26.386,Good,26.4,Good
01/09/23 17:00,4.147,Good,52.641,Good,48.868,Good,49.436,Good,48.983,Good,26.927,Good,-3276.8,Bad,26.353,Good,26.415,Good
01/09/23 17:30,1.06,Good,24.116,Good,17.944,Good,19.392,Good,16.705,Good,27.203,Good,-3276.8,Bad,26.32,Good,26.471,Good
01/09/23 18:00,-0.327,Good,10.286,Good,3.314,Good,4.399,Good,2,Good,27.243,Good,-3276.8,Bad,26.06,Good,25.929,Good
01/09/23 18:30,-0.184,Good,6.12,Good,3,Good,3,Good,0,Good,27.156,Good,-3276.8,Bad,25.501,Good,25.4,Good
01/09/23 19:00,-0.177,Good,6.415,Good,3,Good,3,Good,0,Good,27.068,Good,-3276.8,Bad,25.528,Good,25.4,Good
